word	word_count	mean_sent_length	final_count	solo_count
buzz_lightyear	4.0	5.25	2.0	1.0
roa	7.0	7.285714285714286	1.0	1.0
wednesdays	5.0	6.0	3.0	0.0
coworker	1.0	18.0	0.0	0.0
surgeon	1.0	4.0	1.0	0.0
monopoly	11.0	5.545454545454546	3.0	1.0
waterwings	1.0	21.0	0.0	0.0
pee_pee's	1.0	7.0	1.0	0.0
reva	14.0	3.642857142857143	10.0	1.0
milk's	14.0	5.5	0.0	0.0
lunch	1651.0	7.968503937007874	884.0	19.0
ware	2.0	7.0	2.0	0.0
awning	3.0	15.333333333333334	0.0	0.0
bangle	1.0	14.0	0.0	0.0
hammit	1.0	9.0	1.0	0.0
tribal	1.0	5.0	0.0	0.0
plesiosaurus	1.0	2.0	1.0	0.0
dinners	15.0	5.666666666666667	11.0	0.0
moo_moos	2.0	3.5	2.0	0.0
captain_rick	3.0	4.333333333333333	2.0	1.0
pai	1.0	10.0	0.0	0.0
fudged	1.0	7.0	0.0	0.0
wafer	9.0	6.222222222222222	9.0	1.0
teeshirts	1.0	1.0	1.0	1.0
driving	580.0	9.527586206896551	130.0	7.0
rod_n_gun	2.0	6.0	2.0	0.0
eggie	9.0	4.444444444444445	4.0	1.0
peanutbutter	9.0	3.111111111111111	7.0	4.0
bertha's	1.0	11.0	0.0	0.0
lur	1.0	3.0	0.0	0.0
multiplication	2.0	10.0	1.0	0.0
oof	42.0	5.214285714285714	29.0	16.0
forever	178.0	8.825842696629213	103.0	7.0
bax	57.0	4.701754385964913	42.0	5.0
abuse	6.0	3.5	3.0	1.0
beaudezux	1.0	14.0	0.0	0.0
charlene'	2.0	3.5	1.0	1.0
changes	90.0	12.522222222222222	13.0	0.0
combing	44.0	6.386363636363637	4.0	1.0
oompapa	29.0	3.3448275862068964	16.0	11.0
swamplands	1.0	3.0	1.0	0.0
gillian's	1.0	4.0	0.0	0.0
dorsal	3.0	5.0	0.0	0.0
bluish	1.0	8.0	0.0	0.0
la	339.0	6.474926253687316	91.0	16.0
mothe	21.0	15.714285714285714	10.0	0.0
dadi	1.0	1.0	1.0	1.0
randy	25.0	5.96	9.0	2.0
nifty	14.0	4.857142857142857	6.0	2.0
mildly	3.0	14.333333333333334	1.0	1.0
christ_our_lord	1.0	6.0	0.0	0.0
moral	10.0	13.9	1.0	0.0
wasps	1.0	8.0	1.0	0.0
keepin	18.0	9.5	1.0	0.0
fadder	2.0	4.0	1.0	0.0
eer	2.0	4.0	1.0	0.0
measurements	4.0	12.25	2.0	0.0
rumpetarumpetarumpeta	1.0	16.0	0.0	0.0
ratchet	1.0	6.0	0.0	0.0
yellower	2.0	16.5	0.0	0.0
combat	2.0	13.5	0.0	0.0
frost	5.0	3.4	3.0	2.0
divert	2.0	12.0	0.0	0.0
popped	172.0	7.063953488372093	44.0	3.0
born	306.0	10.895424836601308	119.0	1.0
oop_too_boop	1.0	1.0	1.0	1.0
huf	2.0	1.0	2.0	2.0
dadadadash	1.0	1.0	1.0	1.0
catnaping	1.0	9.0	0.0	0.0
arrogant	2.0	3.5	2.0	0.0
disconnected	2.0	7.0	0.0	0.0
thor	5.0	4.6	4.0	0.0
photographer	9.0	9.11111111111111	5.0	1.0
controllers	2.0	7.0	1.0	0.0
incorporated	2.0	16.0	0.0	0.0
quacks	4.0	8.5	2.0	1.0
booboonee	3.0	2.3333333333333335	3.0	0.0
motherland	1.0	3.0	1.0	0.0
malls	1.0	35.0	0.0	0.0
ry	1.0	7.0	0.0	0.0
rightie	1.0	8.0	1.0	0.0
mothers_day	4.0	7.0	3.0	0.0
mrs_jordan	3.0	7.666666666666667	1.0	0.0
danc	1.0	3.0	1.0	0.0
findin	5.0	10.6	0.0	0.0
jus	384.0	8.549479166666666	15.0	4.0
aunt_matilda's	1.0	6.0	0.0	0.0
weezy	1.0	4.0	0.0	0.0
boards	40.0	9.25	26.0	1.0
ophthalmologist	2.0	16.0	1.0	0.0
pep	2.0	2.5	2.0	0.0
tally	4.0	7.75	3.0	1.0
geared	4.0	19.0	0.0	0.0
the_jungle_book	1.0	6.0	1.0	0.0
shoom	3.0	6.0	1.0	1.0
yello	1.0	2.0	1.0	0.0
bogus	2.0	7.0	1.0	0.0
voof	1.0	1.0	1.0	1.0
b	1173.0	6.6888320545609545	389.0	141.0
magnets	233.0	7.060085836909871	122.0	16.0
ambulance	97.0	6.443298969072165	58.0	5.0
woahwoowoo	1.0	1.0	1.0	1.0
dixieland	5.0	3.0	3.0	3.0
bazam	6.0	4.0	5.0	1.0
deedadadeedadum	1.0	1.0	1.0	1.0
cleaning	287.0	8.020905923344948	49.0	1.0
chugging	2.0	5.0	0.0	0.0
baboo	4.0	5.0	4.0	0.0
fabulous	28.0	6.214285714285714	12.0	3.0
anydays	2.0	5.5	1.0	0.0
confined	3.0	6.666666666666667	2.0	0.0
gay	31.0	6.096774193548387	19.0	2.0
lacy	2.0	12.0	0.0	0.0
tuf	1.0	1.0	1.0	1.0
caterpillars	74.0	9.175675675675675	24.0	4.0
anacondas	1.0	6.0	0.0	0.0
pinch	105.0	5.9904761904761905	27.0	4.0
arthur's	11.0	6.454545454545454	0.0	0.0
joel	7.0	6.142857142857143	2.0	1.0
woooo	3.0	1.0	3.0	3.0
adudu	1.0	1.0	1.0	1.0
mallet	4.0	5.0	4.0	0.0
workbench	9.0	10.0	6.0	0.0
velvet	9.0	7.555555555555555	6.0	0.0
mootas	1.0	1.0	1.0	1.0
wacker	3.0	10.333333333333334	1.0	0.0
devious	3.0	7.0	3.0	0.0
chichis	1.0	5.0	1.0	0.0
welcoming	2.0	12.0	1.0	0.0
eyeglasses	15.0	7.4	7.0	1.0
perceptive	4.0	8.0	1.0	0.0
saur	1.0	1.0	1.0	1.0
supplement	4.0	8.25	2.0	0.0
dumptruck	9.0	5.444444444444445	6.0	1.0
strinablob	1.0	8.0	1.0	0.0
concerted	1.0	7.0	0.0	0.0
kookoo	1.0	2.0	1.0	0.0
eskimos	3.0	6.666666666666667	0.0	0.0
pspsps	1.0	1.0	1.0	1.0
cherios	3.0	3.6666666666666665	1.0	0.0
middles	1.0	6.0	0.0	0.0
daddy's	1583.0	5.9886291850915985	65.0	9.0
ee	134.0	5.58955223880597	36.0	12.0
tsunami	1.0	7.0	1.0	0.0
problems	118.0	11.76271186440678	43.0	0.0
budup	1.0	1.0	1.0	1.0
james_brown	1.0	8.0	0.0	0.0
melloan	2.0	6.0	0.0	0.0
countertops	1.0	12.0	0.0	0.0
alfalfa	3.0	8.333333333333334	0.0	0.0
noticing	17.0	13.588235294117647	3.0	0.0
coli	4.0	28.25	0.0	0.0
browns	6.0	6.166666666666667	3.0	0.0
interview	38.0	12.394736842105264	12.0	1.0
bounder	2.0	8.5	2.0	0.0
dyes	3.0	10.0	1.0	0.0
